,Location,Opponent Title,Game Result,Year,Distance
0,vs,Philadelphia,W,2006,0
1,@,Boston,W,2006,987
2,vs,Toronto,W,2006,987
3,@,Sacramento,W,2006,3260
4,@,Phoenix,W,2006,1022
5,@,Portland,W,2006,1618
6,vs,Boston,W,2006,3170
7,@,Houston,W,2006,1779
8,@,Dallas,L,2006,361
9,vs,Denver,W,2006,1609
10,vs,Washington,L,2006,0
11,@,Milwaukee,W,2006,406
12,@,New Jersey,W,2006,1188
13,vs,New York,W,2006,782
14,@,Chicago,W,2006,382
15,@,Golden State,W,2006,2992
16,@,LA,W,2006,559
17,@,Utah,L,2006,933
18,vs,Sacramento,W,2006,2401
19,vs,Chicago,W,2006,0
20,@,Charlotte,W,2006,811
21,@,Memphis,W,2006,838
22,vs,Portland,W,2006,1002
23,vs,Golden State,W,2006,0
24,vs,San Antonio,W,2006,0
25,vs,Toronto,W,2006,0
26,vs,Miami,W,2006,0
27,@,Cleveland,L,2006,145
28,vs,Orlando,W,2006,145
29,vs,Seattle,W,2006,0
30,vs,Utah,L,2006,0
31,@,NO/Oklahoma City,W,2006,1465
32,@,San Antonio,W,2006,676
33,vs,Charlotte,W,2006,1993
34,vs,Boston,W,2006,0
35,@,Atlanta,W,2006,960
36,@,New York,W,2006,1201
37,vs,Houston,W,2006,775
38,@,Minnesota,W,2006,874
39,vs,Milwaukee,W,2006,874
40,vs,Memphis,W,2006,0
41,vs,Los Angeles,W,2006,0
42,@,New Jersey,L,2006,782
43,vs,Minnesota,W,2006,782
44,@,Philadelphia,W,2006,712
45,@,Indiana,L,2006,940
46,@,Atlanta,L,2006,686
47,vs,LA,W,2006,960
48,@,Orlando,W,2006,1538
49,@,Miami,L,2006,329
50,vs,New Jersey,W,2006,1856
51,vs,Atlanta,W,2006,0
52,vs,Indiana,W,2006,0
53,@,Chicago,W,2006,382
54,vs,Cleveland,W,2006,382
55,@,Cleveland,W,2006,145
56,@,Denver,L,2006,1975
57,@,Seattle,W,2006,1644
58,@,Los Angeles,L,2006,1544
59,vs,Chicago,W,2006,3192
60,@,Washington,L,2006,635
61,vs,Charlotte,W,2006,635
62,@,Toronto,W,2006,333
63,@,New York,L,2006,551
64,@,Charlotte,W,2006,855
65,vs,Atlanta,W,2006,811
66,vs,Miami,W,2006,0
67,@,Indiana,W,2006,387
68,vs,New Jersey,L,2006,387
69,vs,Dallas,W,2006,0
70,@,Philadelphia,W,2006,712
71,vs,Milwaukee,W,2006,712
72,vs,Phoenix,W,2006,0
73,vs,NO/Oklahoma City,W,2006,0
74,@,Miami,W,2006,1856
75,@,Orlando,L,2006,329
76,vs,Indiana,W,2006,1538
77,vs,Cleveland,W,2006,0
78,@,Toronto,L,2006,333
79,vs,New York,W,2006,333
80,@,Milwaukee,L,2006,406
81,vs,Washington,L,2006,406
