,Location,Opponent Title,Game Result,Year,Distance
0,@,Indiana,L,2012,0
1,vs,Cleveland,L,2012,387
2,@,Boston,L,2012,987
3,vs,Indiana,W,2012,987
4,vs,Orlando,W,2012,0
5,vs,Chicago,L,2012,0
6,@,Philadelphia,L,2012,712
7,vs,New York,L,2012,712
8,@,Chicago,L,2012,382
9,vs,Dallas,L,2012,382
10,@,Milwaukee,L,2012,406
11,@,Charlotte,W,2012,1060
12,vs,Golden State,L,2012,811
13,@,Houston,L,2012,1779
14,@,Minnesota,L,2012,1699
15,vs,Memphis,L,2012,874
16,vs,Portland,W,2012,0
17,@,Oklahoma City,L,2012,1465
18,vs,Miami,L,2012,1465
19,vs,Atlanta,L,2012,0
20,@,Philadelphia,L,2012,712
21,@,Milwaukee,L,2012,1117
22,@,New York,L,2012,1181
23,@,New Jersey,L,2012,8
24,vs,Milwaukee,W,2012,782
25,vs,New Orleans,W,2012,0
26,@,New Jersey,W,2012,782
27,vs,New Jersey,W,2012,782
28,vs,Washington,L,2012,0
29,vs,San Antonio,L,2012,0
30,@,Boston,W,2012,987
31,vs,Sacramento,W,2012,987
32,vs,Boston,W,2012,0
33,@,Cleveland,L,2012,145
34,@,Toronto,L,2012,305
35,vs,Philadelphia,L,2012,333
36,vs,Charlotte,W,2012,0
37,@,Memphis,L,2012,1002
38,vs,Los Angeles,W,2012,1002
39,vs,Atlanta,W,2012,0
40,vs,Toronto,W,2012,0
41,@,Utah,L,2012,2401
42,@,Sacramento,W,2012,858
43,@,Phoenix,L,2012,1022
44,@,LA,L,2012,575
45,@,Denver,L,2012,1337
46,vs,Miami,L,2012,1862
47,@,New York,L,2012,775
48,@,Washington,W,2012,328
49,@,Cleveland,W,2012,490
50,@,Chicago,L,2012,496
51,vs,Charlotte,W,2012,382
52,vs,Orlando,W,2012,0
53,vs,Washington,W,2012,0
54,@,Atlanta,L,2012,960
55,@,Miami,L,2012,974
56,@,Orlando,L,2012,329
57,@,Charlotte,W,2012,743
58,vs,Milwaukee,L,2012,811
59,vs,Chicago,L,2012,0
60,vs,Cleveland,W,2012,0
61,@,Atlanta,L,2012,960
62,vs,Minnesota,L,2012,960
63,vs,Toronto,W,2012,0
64,@,Indiana,L,2012,387
65,vs,Philadelphia,W,2012,387
