,Location,Opponent Title,Game Result,Year,Distance
0,@,Denver,L,2015,0
1,@,Minnesota,L,2015,1126
2,vs,Brooklyn,L,2015,874
3,vs,New York,W,2015,0
4,vs,Milwaukee,W,2015,0
5,vs,Utah,L,2015,0
6,@,Chicago,L,2015,382
7,@,Washington,L,2015,957
8,@,Oklahoma City,W,2015,1854
9,@,Memphis,L,2015,680
10,vs,Orlando,L,2015,1002
11,vs,Phoenix,L,2015,0
12,@,Atlanta,L,2015,960
13,@,Milwaukee,L,2015,1076
14,vs,LA,L,2015,406
15,vs,Milwaukee,L,2015,0
16,vs,Golden State,L,2015,0
17,vs,Los Angeles,L,2015,0
18,@,Boston,L,2015,987
19,vs,Philadelphia,L,2015,987
20,vs,Oklahoma City,L,2015,0
21,vs,Portland,L,2015,0
22,@,Phoenix,W,2015,2721
23,@,Sacramento,W,2015,1022
24,@,LA,L,2015,581
25,vs,Dallas,L,2015,3192
26,vs,Toronto,L,2015,0
27,@,Brooklyn,L,2015,782
28,vs,Indiana,W,2015,782
29,@,Cleveland,W,2015,145
30,@,Orlando,W,2015,1438
31,@,New York,W,2015,1509
32,vs,Sacramento,W,2015,775
33,@,San Antonio,W,2015,1993
34,@,Dallas,W,2015,405
35,vs,Atlanta,L,2015,1609
36,vs,Brooklyn,W,2015,0
37,@,Toronto,W,2015,333
38,vs,New Orleans,L,2015,333
39,@,Indiana,W,2015,387
40,vs,Philadelphia,W,2015,387
41,@,Atlanta,L,2015,960
42,vs,Orlando,W,2015,960
43,@,Milwaukee,L,2015,406
44,@,Toronto,L,2015,694
45,vs,Cleveland,L,2015,333
46,@,Philadelphia,L,2015,712
47,vs,Houston,W,2015,712
48,vs,Miami,W,2015,0
49,@,Indiana,L,2015,387
50,vs,Denver,W,2015,387
51,vs,Minnesota,L,2015,0
52,@,Charlotte,W,2015,811
53,vs,San Antonio,L,2015,811
54,vs,Chicago,W,2015,0
55,vs,Washington,W,2015,0
56,vs,Cleveland,L,2015,0
57,vs,New York,L,2015,0
58,@,Washington,L,2015,635
59,@,New Orleans,L,2015,1554
60,@,Houston,L,2015,512
61,vs,Charlotte,L,2015,1779
62,@,Los Angeles,L,2015,3192
63,@,Golden State,L,2015,559
64,@,Portland,L,2015,861
65,@,Utah,L,2015,1023
66,vs,Memphis,W,2015,2401
67,@,Philadelphia,L,2015,712
68,vs,Chicago,W,2015,712
69,@,Boston,W,2015,987
70,vs,Toronto,W,2015,987
71,@,Orlando,W,2015,1538
72,@,Miami,L,2015,329
73,vs,Atlanta,W,2015,1856
74,@,Charlotte,L,2015,811
75,@,Chicago,L,2015,945
76,vs,Miami,W,2015,382
77,vs,Boston,L,2015,0
78,vs,Indiana,L,2015,0
79,vs,Charlotte,W,2015,0
80,@,Cleveland,L,2015,145
81,@,New York,W,2015,652
