,Location,Opponent Title,Game Result,Year,Distance
0,vs,Houston,L,2013,0
1,@,Phoenix,L,2013,2721
2,@,Los Angeles,L,2013,575
3,@,Denver,L,2013,1337
4,@,Sacramento,L,2013,1430
5,@,Oklahoma City,L,2013,2155
6,@,Houston,L,2013,664
7,vs,Oklahoma City,L,2013,1779
8,@,Philadelphia,W,2013,712
9,vs,Orlando,L,2013,712
10,vs,Boston,W,2013,0
11,@,Orlando,L,2013,1538
12,vs,Toronto,W,2013,1538
13,@,New York,L,2013,775
14,vs,Portland,W,2013,775
15,vs,Phoenix,W,2013,0
16,@,Memphis,L,2013,1002
17,@,Dallas,L,2013,677
18,vs,Cleveland,W,2013,1609
19,vs,Golden State,L,2013,0
20,vs,Chicago,L,2013,0
21,@,Cleveland,W,2013,145
22,@,Philadelphia,L,2013,578
23,vs,Denver,L,2013,712
24,@,Brooklyn,L,2013,782
25,vs,Indiana,L,2013,782
26,vs,LA,L,2013,0
27,@,Toronto,L,2013,333
28,vs,Washington,W,2013,333
29,@,Washington,W,2013,635
30,@,Atlanta,L,2013,873
31,vs,Miami,W,2013,960
32,vs,Milwaukee,W,2013,0
33,vs,Sacramento,W,2013,0
34,vs,Atlanta,W,2013,0
35,vs,Charlotte,L,2013,0
36,@,Milwaukee,W,2013,406
37,vs,Utah,L,2013,406
38,vs,New York,L,2013,0
39,vs,Boston,W,2013,0
40,vs,Orlando,W,2013,0
41,@,Chicago,L,2013,382
42,@,Miami,L,2013,1914
43,@,Orlando,W,2013,329
44,vs,Milwaukee,L,2013,1538
45,@,Indiana,L,2013,387
46,vs,Cleveland,W,2013,387
47,vs,Los Angeles,L,2013,0
48,@,New York,L,2013,775
49,vs,Brooklyn,L,2013,775
50,vs,San Antonio,W,2013,0
51,@,Milwaukee,W,2013,406
52,vs,New Orleans,L,2013,406
53,vs,Washington,W,2013,0
54,vs,Memphis,L,2013,0
55,@,Charlotte,W,2013,811
56,@,Indiana,L,2013,689
57,vs,Indiana,L,2013,387
58,vs,Atlanta,L,2013,0
59,@,Washington,W,2013,635
60,@,New Orleans,L,2013,1554
61,@,San Antonio,L,2013,817
62,vs,New York,L,2013,1993
63,vs,Dallas,L,2013,0
64,@,LA,L,2013,3192
65,@,Utah,L,2013,933
66,@,Golden State,L,2013,966
67,@,Portland,L,2013,861
68,vs,Brooklyn,L,2013,3170
69,@,Miami,L,2013,1856
70,@,Charlotte,W,2013,1051
71,vs,Minnesota,L,2013,811
72,vs,Toronto,L,2013,0
73,@,Chicago,L,2013,382
74,@,Toronto,W,2013,703
75,@,Boston,L,2013,693
76,@,Minnesota,L,2013,1808
77,vs,Chicago,W,2013,874
78,@,Cleveland,W,2013,145
79,vs,Charlotte,W,2013,145
80,vs,Philadelphia,W,2013,0
81,@,Brooklyn,L,2013,782
