,Location,Opponent Title,Game Result,Year,Distance
0,vs,Charlotte,W,2018,0
1,@,Washington,L,2018,635
2,@,New York,W,2018,328
3,vs,Philadelphia,L,2018,775
4,vs,Minnesota,W,2018,0
5,@,LA,W,2018,3192
6,@,Golden State,W,2018,559
7,@,Los Angeles,L,2018,559
8,vs,Milwaukee,W,2018,3192
9,vs,Sacramento,W,2018,0
10,vs,Indiana,W,2018,0
11,vs,Atlanta,W,2018,0
12,vs,Miami,W,2018,0
13,@,Milwaukee,L,2018,406
14,@,Indiana,L,2018,392
15,@,Minnesota,W,2018,823
16,vs,Cleveland,L,2018,874
17,@,Oklahoma City,W,2018,1465
18,@,Boston,W,2018,2407
19,vs,Phoenix,W,2018,987
20,@,Washington,L,2018,635
21,@,Philadelphia,L,2018,199
22,@,San Antonio,L,2018,2425
23,@,Milwaukee,L,2018,1782
24,vs,Golden State,L,2018,406
25,vs,Boston,L,2018,0
26,vs,Denver,L,2018,0
27,@,Atlanta,W,2018,960
28,@,Indiana,W,2018,686
29,vs,Orlando,W,2018,387
30,@,Dallas,L,2018,1609
31,vs,New York,W,2018,1609
32,vs,Indiana,W,2018,0
33,@,Orlando,L,2018,1538
34,vs,San Antonio,W,2018,1538
35,@,Miami,L,2018,1856
36,@,Philadelphia,L,2018,1642
37,vs,Houston,W,2018,712
38,@,New Orleans,L,2018,1511
39,@,Brooklyn,W,2018,1881
40,@,Chicago,L,2018,1153
41,vs,Charlotte,L,2018,382
42,@,Toronto,L,2018,333
43,vs,Washington,L,2018,333
44,vs,Brooklyn,L,2018,0
45,vs,Utah,L,2018,0
46,vs,Oklahoma City,L,2018,0
47,@,Cleveland,L,2018,145
48,vs,Cleveland,W,2018,145
49,vs,Memphis,W,2018,0
50,vs,Miami,W,2018,0
51,vs,Portland,W,2018,0
52,vs,Brooklyn,W,2018,0
53,vs,LA,L,2018,0
54,@,Atlanta,L,2018,960
55,vs,New Orleans,L,2018,960
56,vs,Atlanta,W,2018,0
57,vs,Boston,L,2018,0
58,@,Charlotte,L,2018,811
59,@,Toronto,L,2018,944
60,vs,Milwaukee,W,2018,333
61,@,Orlando,L,2018,1538
62,@,Miami,L,2018,329
63,@,Cleveland,L,2018,1751
64,vs,Toronto,L,2018,145
65,vs,Chicago,W,2018,0
66,@,Utah,L,2018,2401
67,@,Denver,L,2018,598
68,@,Portland,L,2018,1582
69,@,Sacramento,W,2018,777
70,@,Phoenix,W,2018,1022
71,@,Houston,L,2018,1635
72,vs,Chicago,W,2018,1779
73,vs,Los Angeles,W,2018,0
74,vs,Washington,W,2018,0
75,@,New York,W,2018,775
76,@,Brooklyn,W,2018,8
77,vs,Philadelphia,L,2018,782
78,vs,Dallas,W,2018,0
79,@,Memphis,L,2018,1002
80,vs,Toronto,L,2018,1002
81,@,Chicago,W,2018,382
