,Location,Opponent Title,Game Result,Year,Distance
0,vs,Brooklyn,W,2019,0
1,@,Chicago,W,2019,382
2,vs,Philadelphia,W,2019,382
3,vs,Cleveland,W,2019,0
4,vs,Boston,L,2019,0
5,@,Boston,L,2019,987
6,@,Brooklyn,L,2019,307
7,@,Philadelphia,L,2019,129
8,vs,Miami,L,2019,712
9,@,Orlando,W,2019,1538
10,@,Atlanta,W,2019,645
11,vs,Charlotte,L,2019,960
12,@,Toronto,W,2019,333
13,vs,Cleveland,W,2019,333
14,@,Houston,L,2019,1779
15,vs,Houston,W,2019,1779
16,vs,Phoenix,W,2019,0
17,vs,New York,W,2019,0
18,vs,Chicago,W,2019,0
19,vs,Golden State,W,2019,0
20,vs,Oklahoma City,L,2019,0
21,@,Milwaukee,L,2019,406
22,vs,Philadelphia,L,2019,406
23,vs,New Orleans,L,2019,0
24,@,Philadelphia,L,2019,712
25,@,Charlotte,L,2019,725
26,vs,Boston,W,2019,811
27,vs,Milwaukee,L,2019,0
28,@,Minnesota,W,2019,874
29,@,Charlotte,L,2019,1511
30,vs,Atlanta,L,2019,811
31,vs,Washington,W,2019,0
32,@,Indiana,L,2019,387
33,@,Orlando,L,2019,1321
34,@,Milwaukee,L,2019,1712
35,@,Memphis,W,2019,895
36,vs,Utah,L,2019,1002
37,vs,San Antonio,L,2019,0
38,@,Los Angeles,L,2019,3192
39,@,Sacramento,L,2019,581
40,@,LA,W,2019,581
41,@,Utah,L,2019,933
42,vs,Orlando,W,2019,2401
43,vs,Miami,W,2019,0
44,vs,Sacramento,L,2019,0
45,@,Washington,L,2019,635
46,@,New Orleans,W,2019,1554
47,@,Dallas,L,2019,712
48,vs,Milwaukee,L,2019,1609
49,vs,Dallas,W,2019,0
50,vs,LA,L,2019,0
51,vs,Denver,W,2019,0
52,@,New York,W,2019,775
53,vs,New York,W,2019,775
54,vs,Washington,W,2019,0
55,@,Boston,L,2019,987
56,@,Atlanta,W,2019,1507
57,@,Miami,W,2019,974
58,vs,Indiana,W,2019,1856
59,@,San Antonio,L,2019,1993
60,@,Cleveland,W,2019,2023
61,vs,Toronto,W,2019,145
62,vs,Minnesota,W,2019,0
63,@,Chicago,W,2019,382
64,vs,Chicago,W,2019,382
65,@,Brooklyn,L,2019,782
66,@,Miami,L,2019,1750
67,vs,Los Angeles,W,2019,1856
68,vs,Toronto,W,2019,0
69,@,Cleveland,L,2019,145
70,@,Phoenix,W,2019,2815
71,@,Portland,L,2019,1618
72,@,Golden State,L,2019,861
73,@,Denver,L,2019,1528
74,vs,Orlando,W,2019,1862
75,vs,Portland,W,2019,0
76,@,Indiana,L,2019,387
77,vs,Indiana,L,2019,387
78,@,Oklahoma City,L,2019,1465
79,vs,Charlotte,L,2019,1465
80,vs,Memphis,W,2019,0
81,@,New York,W,2019,775
