,Location,Opponent Title,Game Result,Year,Distance
0,vs,Washington,W,2014,0
1,@,Memphis,L,2014,1002
2,vs,Boston,W,2014,1002
3,vs,Indiana,L,2014,0
4,vs,Oklahoma City,L,2014,0
5,@,Portland,L,2014,3170
6,@,Golden State,L,2014,861
7,@,Sacramento,W,2014,121
8,@,Los Angeles,L,2014,581
9,vs,New York,W,2014,3192
10,@,Atlanta,L,2014,960
11,vs,Atlanta,L,2014,960
12,@,Brooklyn,W,2014,782
13,vs,Milwaukee,W,2014,782
14,vs,Chicago,L,2014,0
15,vs,Los Angeles,L,2014,0
16,vs,Philadelphia,W,2014,0
17,@,Miami,W,2014,1856
18,@,Milwaukee,W,2014,2041
19,@,Chicago,W,2014,131
20,vs,Miami,L,2014,382
21,vs,Minnesota,L,2014,0
22,@,New Orleans,L,2014,1511
23,vs,Brooklyn,W,2014,1511
24,vs,Portland,L,2014,0
25,@,Indiana,W,2014,387
26,@,Boston,W,2014,1299
27,vs,Charlotte,L,2014,987
28,vs,Houston,L,2014,0
29,@,Cleveland,W,2014,145
30,@,Orlando,L,2014,1438
31,@,Washington,L,2014,1218
32,vs,Washington,L,2014,635
33,vs,Memphis,L,2014,0
34,@,New York,L,2014,775
35,@,Toronto,L,2014,551
36,@,Philadelphia,W,2014,540
37,vs,Phoenix,W,2014,712
38,vs,Utah,L,2014,0
39,@,Washington,W,2014,635
40,vs,LA,L,2014,635
41,@,Milwaukee,L,2014,406
42,vs,New Orleans,L,2014,406
43,@,Dallas,L,2014,1609
44,vs,Orlando,W,2014,1609
45,vs,Philadelphia,W,2014,0
46,@,Miami,L,2014,1856
47,@,Orlando,L,2014,329
48,vs,Brooklyn,W,2014,1538
49,vs,Denver,W,2014,0
50,vs,San Antonio,W,2014,0
51,vs,Cleveland,L,2014,0
52,vs,Charlotte,L,2014,0
53,@,Charlotte,L,2014,811
54,vs,Atlanta,W,2014,811
55,vs,Dallas,L,2014,0
56,vs,Golden State,L,2014,0
57,@,San Antonio,L,2014,1993
58,@,Houston,L,2014,305
59,vs,New York,W,2014,1779
60,vs,Chicago,L,2014,0
61,@,Minnesota,L,2014,874
62,@,Boston,L,2014,1808
63,vs,Sacramento,W,2014,987
64,@,Toronto,L,2014,333
65,vs,Indiana,L,2014,333
66,@,Denver,L,2014,1862
67,@,Phoenix,L,2014,942
68,@,LA,L,2014,575
69,@,Utah,W,2014,933
70,vs,Cleveland,L,2014,2401
71,vs,Miami,L,2014,0
72,@,Philadelphia,L,2014,712
73,vs,Milwaukee,W,2014,712
74,@,Indiana,L,2014,387
75,@,Brooklyn,L,2014,1043
76,vs,Boston,W,2014,782
77,@,Atlanta,W,2014,960
78,@,Cleveland,L,2014,892
79,@,Chicago,L,2014,496
80,vs,Toronto,L,2014,382
81,@,Oklahoma City,L,2014,1465
