,Location,Opponent Title,Game Result,Year,Distance
0,@,Atlanta,W,2016,0
1,vs,Utah,W,2016,960
2,vs,Chicago,W,2016,0
3,vs,Indiana,L,2016,0
4,@,Phoenix,W,2016,2721
5,@,Portland,W,2016,1618
6,@,Golden State,L,2016,861
7,@,Sacramento,L,2016,121
8,@,LA,L,2016,581
9,@,Los Angeles,L,2016,-1
10,vs,Cleveland,W,2016,3192
11,@,Minnesota,W,2016,874
12,vs,Washington,L,2016,874
13,@,Milwaukee,L,2016,406
14,vs,Miami,W,2016,406
15,@,Oklahoma City,L,2016,1465
16,@,Brooklyn,L,2016,2139
17,vs,Houston,W,2016,782
18,vs,Phoenix,W,2016,0
19,vs,Milwaukee,W,2016,0
20,vs,Los Angeles,W,2016,0
21,@,Charlotte,L,2016,811
22,vs,Memphis,L,2016,811
23,@,Philadelphia,W,2016,712
24,vs,Indiana,W,2016,712
25,vs,LA,L,2016,0
26,vs,Boston,W,2016,0
27,@,Chicago,W,2016,382
28,@,Miami,W,2016,1914
29,@,Atlanta,L,2016,974
30,vs,Boston,L,2016,960
31,@,New York,L,2016,775
32,vs,Minnesota,W,2016,775
33,@,Indiana,L,2016,387
34,vs,Orlando,W,2016,387
35,@,Boston,W,2016,987
36,vs,Brooklyn,W,2016,987
37,vs,San Antonio,L,2016,0
38,@,Memphis,L,2016,1002
39,vs,Golden State,W,2016,1002
40,vs,Chicago,L,2016,0
41,@,Houston,W,2016,1779
42,@,New Orleans,L,2016,512
43,@,Denver,L,2016,1739
44,@,Utah,W,2016,598
45,vs,Philadelphia,W,2016,2401
46,vs,Cleveland,L,2016,0
47,@,Toronto,L,2016,333
48,@,Brooklyn,W,2016,559
49,@,Boston,L,2016,307
50,vs,New York,W,2016,987
51,@,Indiana,L,2016,387
52,vs,Toronto,L,2016,387
53,vs,Denver,L,2016,0
54,@,Washington,L,2016,635
55,vs,New Orleans,L,2016,635
56,@,Cleveland,W,2016,145
57,vs,Philadelphia,W,2016,145
58,@,Milwaukee,W,2016,406
59,vs,Toronto,W,2016,406
60,@,San Antonio,L,2016,1993
61,@,New York,L,2016,2548
62,vs,Portland,W,2016,775
63,@,Dallas,W,2016,1609
64,@,Charlotte,L,2016,1497
65,@,Philadelphia,W,2016,725
66,@,Washington,L,2016,199
67,vs,Atlanta,L,2016,635
68,vs,Sacramento,W,2016,0
69,vs,Brooklyn,W,2016,0
70,vs,Milwaukee,W,2016,0
71,vs,Orlando,W,2016,0
72,vs,Charlotte,W,2016,0
73,vs,Atlanta,L,2016,0
74,vs,Oklahoma City,W,2016,0
75,vs,Dallas,L,2016,0
76,@,Chicago,W,2016,382
77,@,Miami,L,2016,1914
78,@,Orlando,W,2016,329
79,vs,Washington,W,2016,1538
80,vs,Miami,L,2016,0
81,@,Cleveland,W,2016,145
