,Location,Opponent Title,Game Result,Year,Distance
0,@,Toronto,L,2017,0
1,vs,Orlando,W,2017,333
2,vs,Milwaukee,W,2017,0
3,vs,New York,W,2017,0
4,@,Brooklyn,L,2017,782
5,vs,Denver,W,2017,782
6,@,LA,L,2017,3192
7,@,Phoenix,L,2017,575
8,@,San Antonio,L,2017,1365
9,@,Denver,W,2017,1289
10,vs,Oklahoma City,W,2017,1862
11,@,New York,L,2017,775
12,@,Cleveland,L,2017,652
13,vs,Boston,L,2017,145
14,vs,Houston,L,2017,0
15,vs,Miami,W,2017,0
16,vs,LA,W,2017,0
17,@,Oklahoma City,L,2017,1465
18,@,Charlotte,W,2017,1514
19,@,Boston,W,2017,1160
20,@,Atlanta,W,2017,1507
21,vs,Orlando,L,2017,960
22,vs,Chicago,W,2017,0
23,@,Charlotte,L,2017,811
24,@,Minnesota,W,2017,1511
25,vs,Philadelphia,L,2017,874
26,@,Dallas,W,2017,1609
27,@,Washington,L,2017,1905
28,vs,Indiana,L,2017,635
29,@,Chicago,L,2017,382
30,vs,Memphis,L,2017,382
31,vs,Golden State,L,2017,0
32,vs,Cleveland,W,2017,0
33,vs,Milwaukee,L,2017,0
34,@,Atlanta,L,2017,960
35,@,Miami,W,2017,974
36,vs,Indiana,L,2017,1856
37,vs,Charlotte,W,2017,0
38,@,Portland,W,2017,3170
39,@,Sacramento,L,2017,777
40,@,Golden State,L,2017,121
41,@,Utah,L,2017,966
42,@,Los Angeles,W,2017,933
43,vs,Atlanta,W,2017,3192
44,vs,Washington,W,2017,0
45,vs,Sacramento,L,2017,0
46,@,Miami,L,2017,1856
47,@,Boston,L,2017,2022
48,vs,New Orleans,W,2017,987
49,vs,Minnesota,W,2017,0
50,@,Indiana,L,2017,387
51,vs,Philadelphia,W,2017,387
52,vs,Los Angeles,W,2017,0
53,vs,San Antonio,L,2017,0
54,@,Toronto,W,2017,333
55,@,Milwaukee,L,2017,694
56,vs,Dallas,W,2017,406
57,vs,Charlotte,W,2017,0
58,vs,Boston,L,2017,0
59,vs,Portland,W,2017,0
60,@,New Orleans,L,2017,1511
61,@,Philadelphia,W,2017,1752
62,vs,Chicago,W,2017,712
63,@,Indiana,L,2017,387
64,vs,Cleveland,W,2017,387
65,vs,New York,W,2017,0
66,@,Cleveland,L,2017,145
67,vs,Utah,L,2017,145
68,vs,Toronto,L,2017,0
69,vs,Phoenix,W,2017,0
70,@,Brooklyn,L,2017,782
71,@,Chicago,L,2017,1153
72,@,Orlando,L,2017,1584
73,@,New York,L,2017,1509
74,vs,Miami,L,2017,775
75,vs,Brooklyn,W,2017,0
76,@,Milwaukee,L,2017,406
77,vs,Toronto,L,2017,406
78,@,Houston,W,2017,1779
79,@,Memphis,W,2017,779
80,vs,Washington,L,2017,1002
81,@,Orlando,L,2017,1538
